indx,text
0,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3969000000.0, Total Non Current Assets is 9490000000.0, Current Liabilities is 3285000000.0, Total Non Current Liabilities Net Minority Interest is 2881000000.0, Stockholders Equity is 7293000000.0, Market Cap is 34573586432, Industry is Electronic Gaming & Multimedia, Employees is 13700.0, City is Redwood City, EBITDA Margins is 0.2551, Profit Margins is 0.14118, Gross Margins is 0.78567004, Day High is 133.71,.
"
1,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 4151000000.0, Total Non Current Assets is 9649000000.0, Current Liabilities is 3513000000.0, Total Non Current Liabilities Net Minority Interest is 2662000000.0, Stockholders Equity is 7625000000.0, Market Cap is 34573586432, Industry is Electronic Gaming & Multimedia, Employees is 13700.0, City is Redwood City, EBITDA Margins is 0.2551, Profit Margins is 0.14118, Gross Margins is 0.78567004, Day High is 133.71,.
"
2,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 7213000000.0, Total Non Current Assets is 6075000000.0, Current Liabilities is 2964000000.0, Total Non Current Liabilities Net Minority Interest is 2484000000.0, Stockholders Equity is 7840000000.0, Market Cap is 34573586432, Industry is Electronic Gaming & Multimedia, Employees is 13700.0, City is Redwood City, EBITDA Margins is 0.2551, Profit Margins is 0.14118, Gross Margins is 0.78567004, Day High is 133.71,.
"
3,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 65633000000.0, Total Non Current Assets is 162642000000.0, Current Liabilities is 69421000000.0, Total Non Current Liabilities Net Minority Interest is 87085000000.0, Stockholders Equity is 71469000000.0, Market Cap is 78612873216, Industry is Healthcare Plans, Employees is 219000.0, City is Woonsocket, EBITDA Margins is 0.038429998, Profit Margins is 0.013660001, Gross Margins is 0.13809, Day High is 64.05,.
"
4,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 60008000000.0, Total Non Current Assets is 172991000000.0, Current Liabilities is 67807000000.0, Total Non Current Liabilities Net Minority Interest is 89811000000.0, Stockholders Equity is 75075000000.0, Market Cap is 78612873216, Industry is Healthcare Plans, Employees is 219000.0, City is Woonsocket, EBITDA Margins is 0.038429998, Profit Margins is 0.013660001, Gross Margins is 0.13809, Day High is 64.05,.
"
5,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 56369000000.0, Total Non Current Assets is 174346000000.0, Current Liabilities is 62017000000.0, Total Non Current Liabilities Net Minority Interest is 98997000000.0, Stockholders Equity is 69389000000.0, Market Cap is 78612873216, Industry is Healthcare Plans, Employees is 219000.0, City is Woonsocket, EBITDA Margins is 0.038429998, Profit Margins is 0.013660001, Gross Margins is 0.13809, Day High is 64.05,.
"
6,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 4223198000.0, Total Non Current Assets is 49007682000.0, Current Liabilities is 6799283000.0, Total Non Current Liabilities Net Minority Interest is 30802889000.0, Stockholders Equity is 15473158000.0, Market Cap is 21909006336, Industry is Utilities - Regulated Electric, Employees is 10000.0, City is Springfield, EBITDA Margins is 0.35696, Profit Margins is -0.047259998, Gross Margins is 0.49400002, Day High is 60.7,.
"
7,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3270120000.0, Total Non Current Assets is 45222074000.0, Current Liabilities is 5847039000.0, Total Non Current Liabilities Net Minority Interest is 27889691000.0, Stockholders Equity is 14599844000.0, Market Cap is 21909006336, Industry is Utilities - Regulated Electric, Employees is 10000.0, City is Springfield, EBITDA Margins is 0.35696, Profit Margins is -0.047259998, Gross Margins is 0.49400002, Day High is 60.7,.
"
8,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3130143000.0, Total Non Current Assets is 42969432000.0, Current Liabilities is 4915012000.0, Total Non Current Liabilities Net Minority Interest is 26965450000.0, Stockholders Equity is 14063566000.0, Market Cap is 21909006336, Industry is Utilities - Regulated Electric, Employees is 10000.0, City is Springfield, EBITDA Margins is 0.35696, Profit Margins is -0.047259998, Gross Margins is 0.49400002, Day High is 60.7,.
"
9,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3640267000.0, Total Non Current Assets is 1386273000.0, Current Liabilities is 2109072000.0, Total Non Current Liabilities Net Minority Interest is 1430034000.0, Stockholders Equity is 1463641000.0, Market Cap is 106701930496, Industry is Software - Infrastructure, Employees is 9219.0, City is Austin, EBITDA Margins is 0.053319998, Profit Margins is 0.0484, Gross Margins is 0.75372005, Day High is 433.9999,.
"
